[2026-03-03 23:28:35,038] [E2E-202603032315] [PaddleOCRProcessor] [INFO] - OCR image done: /Users/pan/Desktop/新项目/VideoScreenshotter/data/screenshots/bilibili/116164856381603/frame_028.jpg, lines=15
[2026-03-03 23:28:35,040] [E2E-202603032315] [PaddleOCRProcessor] [INFO] - Updated OCR text for bilibili:116164856381603:E2E-202603032315 (chars=1210)
[2026-03-03 23:28:38,345] [E2E-202603032315] [PaddleOCRProcessor] [INFO] - OCR image done: /Users/pan/Desktop/新项目/VideoScreenshotter/data/screenshots/bilibili/116164822963609/frame_000.jpg, lines=0
[2026-03-03 23:28:41,854] [E2E-202603032315] [PaddleOCRProcessor] [INFO] - OCR image done: /Users/pan/Desktop/新项目/VideoScreenshotter/data/screenshots/bilibili/116164822963609/frame_009.jpg, lines=5
[2026-03-03 23:28:45,780] [E2E-202603032315] [PaddleOCRProcessor] [INFO] - OCR image done: /Users/pan/Desktop/新项目/VideoScreenshotter/data/screenshots/bilibili/116164822963609/frame_011.jpg, lines=12
[2026-03-03 23:28:50,387] [E2E-202603032315] [PaddleOCRProcessor] [INFO] - OCR image done: /Users/pan/Desktop/新项目/VideoScreenshotter/data/screenshots/bilibili/116164822963609/frame_012.jpg, lines=14
[2026-03-03 23:28:53,897] [E2E-202603032315] [PaddleOCRProcessor] [INFO] - OCR image done: /Users/pan/Desktop/新项目/VideoScreenshotter/data/screenshots/bilibili/116164822963609/frame_019.jpg, lines=5
[2026-03-03 23:28:58,045] [E2E-202603032315] [PaddleOCRProcessor] [INFO] - OCR image done: /Users/pan/Desktop/新项目/VideoScreenshotter/data/screenshots/bilibili/116164822963609/frame_021.jpg, lines=15
[2026-03-03 23:29:03,606] [E2E-202603032315] [PaddleOCRProcessor] [INFO] - OCR image done: /Users/pan/Desktop/新项目/VideoScreenshotter/data/screenshots/bilibili/116164822963609/frame_022.jpg, lines=19
[2026-03-03 23:29:07,121] [E2E-202603032315] [PaddleOCRProcessor] [INFO] - OCR image done: /Users/pan/Desktop/新项目/VideoScreenshotter/data/screenshots/bilibili/116164822963609/frame_029.jpg, lines=5
[2026-03-03 23:29:10,474] [E2E-202603032315] [PaddleOCRProcessor] [INFO] - OCR image done: /Users/pan/Desktop/新项目/VideoScreenshotter/data/screenshots/bilibili/116164822963609/frame_030.jpg, lines=3
[2026-03-03 23:29:13,841] [E2E-202603032315] [PaddleOCRProcessor] [INFO] - OCR image done: /Users/pan/Desktop/新项目/VideoScreenshotter/data/screenshots/bilibili/116164822963609/frame_031.jpg, lines=3
[2026-03-03 23:29:13,842] [E2E-202603032315] [PaddleOCRProcessor] [INFO] - Updated OCR text for bilibili:116164822963609:E2E-202603032315 (chars=546)
[2026-03-03 23:29:19,139] [E2E-202603032315] [PaddleOCRProcessor] [INFO] - OCR image done: /Users/pan/Desktop/新项目/VideoScreenshotter/data/screenshots/bilibili/116164772499854/frame_000.jpg, lines=11
[2026-03-03 23:29:22,534] [E2E-202603032315] [PaddleOCRProcessor] [INFO] - OCR image done: /Users/pan/Desktop/新项目/VideoScreenshotter/data/screenshots/bilibili/116164772499854/frame_011.jpg, lines=1
[2026-03-03 23:29:25,692] [E2E-202603032315] [PaddleOCRProcessor] [INFO] - OCR image done: /Users/pan/Desktop/新项目/VideoScreenshotter/data/screenshots/bilibili/116164772499854/frame_012.jpg, lines=0
[2026-03-03 23:29:28,830] [E2E-202603032315] [PaddleOCRProcessor] [INFO] - OCR image done: /Users/pan/Desktop/新项目/VideoScreenshotter/data/screenshots/bilibili/116164772499854/frame_021.jpg, lines=0
[2026-03-03 23:29:28,831] [E2E-202603032315] [PaddleOCRProcessor] [INFO] - Updated OCR text for bilibili:116164772499854:E2E-202603032315 (chars=204)
[2026-03-03 23:29:32,086] [E2E-202603032315] [PaddleOCRProcessor] [INFO] - OCR image done: /Users/pan/Desktop/新项目/VideoScreenshotter/data/screenshots/bilibili/116164571176319/frame_000.jpg, lines=2
[2026-03-03 23:29:36,351] [E2E-202603032315] [PaddleOCRProcessor] [INFO] - OCR image done: /Users/pan/Desktop/新项目/VideoScreenshotter/data/screenshots/bilibili/116164571176319/frame_001.jpg, lines=15
[2026-03-03 23:29:40,097] [E2E-202603032315] [PaddleOCRProcessor] [INFO] - OCR image done: /Users/pan/Desktop/新项目/VideoScreenshotter/data/screenshots/bilibili/116164571176319/frame_002.jpg, lines=5
[2026-03-03 23:29:43,633] [E2E-202603032315] [PaddleOCRProcessor] [INFO] - OCR image done: /Users/pan/Desktop/新项目/VideoScreenshotter/data/screenshots/bilibili/116164571176319/frame_003.jpg, lines=4
[2026-03-03 23:29:46,869] [E2E-202603032315] [PaddleOCRProcessor] [INFO] - OCR image done: /Users/pan/Desktop/新项目/VideoScreenshotter/data/screenshots/bilibili/116164571176319/frame_004.jpg, lines=2
[2026-03-03 23:29:50,384] [E2E-202603032315] [PaddleOCRProcessor] [INFO] - OCR image done: /Users/pan/Desktop/新项目/VideoScreenshotter/data/screenshots/bilibili/116164571176319/frame_005.jpg, lines=3
[2026-03-03 23:29:53,715] [E2E-202603032315] [PaddleOCRProcessor] [INFO] - OCR image done: /Users/pan/Desktop/新项目/VideoScreenshotter/data/screenshots/bilibili/116164571176319/frame_006.jpg, lines=2
[2026-03-03 23:29:57,043] [E2E-202603032315] [PaddleOCRProcessor] [INFO] - OCR image done: /Users/pan/Desktop/新项目/VideoScreenshotter/data/screenshots/bilibili/116164571176319/frame_007.jpg, lines=2
[2026-03-03 23:30:00,385] [E2E-202603032315] [PaddleOCRProcessor] [INFO] - OCR image done: /Users/pan/Desktop/新项目/VideoScreenshotter/data/screenshots/bilibili/116164571176319/frame_008.jpg, lines=2
[2026-03-03 23:30:03,771] [E2E-202603032315] [PaddleOCRProcessor] [INFO] - OCR image done: /Users/pan/Desktop/新项目/VideoScreenshotter/data/screenshots/bilibili/116164571176319/frame_009.jpg, lines=3
[2026-03-03 23:30:07,078] [E2E-202603032315] [PaddleOCRProcessor] [INFO] - OCR image done: /Users/pan/Desktop/新项目/VideoScreenshotter/data/screenshots/bilibili/116164571176319/frame_010.jpg, lines=2
[2026-03-03 23:30:10,523] [E2E-202603032315] [PaddleOCRProcessor] [INFO] - OCR image done: /Users/pan/Desktop/新项目/VideoScreenshotter/data/screenshots/bilibili/116164571176319/frame_011.jpg, lines=3
[2026-03-03 23:30:13,886] [E2E-202603032315] [PaddleOCRProcessor] [INFO] - OCR image done: /Users/pan/Desktop/新项目/VideoScreenshotter/data/screenshots/bilibili/116164571176319/frame_012.jpg, lines=2
[2026-03-03 23:30:17,175] [E2E-202603032315] [PaddleOCRProcessor] [INFO] - OCR image done: /Users/pan/Desktop/新项目/VideoScreenshotter/data/screenshots/bilibili/116164571176319/frame_013.jpg, lines=2
[2026-03-03 23:30:20,443] [E2E-202603032315] [PaddleOCRProcessor] [INFO] - OCR image done: /Users/pan/Desktop/新项目/VideoScreenshotter/data/screenshots/bilibili/116164571176319/frame_014.jpg, lines=2
[2026-03-03 23:30:23,755] [E2E-202603032315] [PaddleOCRProcessor] [INFO] - OCR image done: /Users/pan/Desktop/新项目/VideoScreenshotter/data/screenshots/bilibili/116164571176319/frame_015.jpg, lines=2
[2026-03-03 23:30:27,090] [E2E-202603032315] [PaddleOCRProcessor] [INFO] - OCR image done: /Users/pan/Desktop/新项目/VideoScreenshotter/data/screenshots/bilibili/116164571176319/frame_016.jpg, lines=2
[2026-03-03 23:30:30,268] [E2E-202603032315] [PaddleOCRProcessor] [INFO] - OCR image done: /Users/pan/Desktop/新项目/VideoScreenshotter/data/screenshots/bilibili/116164571176319/frame_017.jpg, lines=1
[2026-03-03 23:30:33,550] [E2E-202603032315] [PaddleOCRProcessor] [INFO] - OCR image done: /Users/pan/Desktop/新项目/VideoScreenshotter/data/screenshots/bilibili/116164571176319/frame_018.jpg, lines=2
[2026-03-03 23:30:36,880] [E2E-202603032315] [PaddleOCRProcessor] [INFO] - OCR image done: /Users/pan/Desktop/新项目/VideoScreenshotter/data/screenshots/bilibili/116164571176319/frame_019.jpg, lines=2
[2026-03-03 23:30:40,222] [E2E-202603032315] [PaddleOCRProcessor] [INFO] - OCR image done: /Users/pan/Desktop/新项目/VideoScreenshotter/data/screenshots/bilibili/116164571176319/frame_020.jpg, lines=2
[2026-03-03 23:30:43,636] [E2E-202603032315] [PaddleOCRProcessor] [INFO] - OCR image done: /Users/pan/Desktop/新项目/VideoScreenshotter/data/screenshots/bilibili/116164571176319/frame_021.jpg, lines=3
[2026-03-03 23:30:47,167] [E2E-202603032315] [PaddleOCRProcessor] [INFO] - OCR image done: /Users/pan/Desktop/新项目/VideoScreenshotter/data/screenshots/bilibili/116164571176319/frame_022.jpg, lines=3
[2026-03-03 23:30:50,480] [E2E-202603032315] [PaddleOCRProcessor] [INFO] - OCR image done: /Users/pan/Desktop/新项目/VideoScreenshotter/data/screenshots/bilibili/116164571176319/frame_023.jpg, lines=2
[2026-03-03 23:30:53,812] [E2E-202603032315] [PaddleOCRProcessor] [INFO] - OCR image done: /Users/pan/Desktop/新项目/VideoScreenshotter/data/screenshots/bilibili/116164571176319/frame_024.jpg, lines=2
